transaction_id,customer_id,amount,currency,transaction_date,transaction_type,status,failure_reason,customer_type,previous_successful_payments,previous_failed_payments,checkout_abandoned,subscription_status,invoice_due_days,customer_lifetime_value,recovery_attempts,recovered,recovered_amount
txn_8a8dab2f,cust_0143,1739,INR,2026-05-11 18:25:38,subscription,failed,card_declined,VIP,33,5,False,past_due,0,165650,0,False,0
txn_29e5053b,cust_0575,15347,INR,2026-06-17 18:38:38,payment,successful,none,new,1,0,False,none,0,17652,0,True,15347
txn_dcd95042,cust_0433,45853,INR,2026-06-02 16:21:38,checkout,abandoned,none,returning,9,1,True,none,0,66220,0,False,0
txn_55ae1403,cust_0619,23626,INR,2026-05-23 16:51:38,checkout,successful,none,returning,2,3,False,none,0,33410,0,True,23626
txn_3acb34aa,cust_0592,41298,INR,2026-06-14 16:32:38,checkout,successful,none,new,0,0,False,none,0,41298,0,True,41298
txn_a57e1ff9,cust_0285,6719,INR,2026-03-09 10:42:38,invoice,successful,none,returning,12,1,False,none,0,49103,0,True,6719
txn_f7497309,cust_0624,42569,INR,2026-05-22 10:27:38,invoice,overdue,none,VIP,41,4,False,none,10,145274,0,False,0
txn_bb285925,cust_0333,36600,INR,2026-05-17 11:22:38,payment,failed,unknown,new,0,0,False,none,0,36600,0,False,0
txn_80fafbaf,cust_0218,37270,INR,2026-07-23 11:39:38,checkout,successful,none,VIP,83,3,False,none,0,390684,0,True,37270
txn_1c35d6e9,cust_0920,17319,INR,2026-07-23 02:55:38,invoice,successful,none,VIP,71,2,False,none,0,180335,0,True,17319
txn_49f1102d,cust_0157,3187,INR,2026-05-21 06:48:38,payment,successful,none,VIP,40,5,False,none,0,161507,0,True,3187
txn_98900110,cust_0995,34776,INR,2026-04-12 10:37:38,invoice,overdue,none,VIP,21,5,False,none,33,64974,0,False,0
txn_6a8625b7,cust_0465,7410,INR,2026-04-20 15:31:38,subscription,failed,authentication_failure,new,1,0,False,past_due,0,12010,0,False,0
txn_79a74ce8,cust_0383,41974,INR,2026-07-30 07:30:38,payment,failed,card_declined,new,0,0,False,none,0,41974,0,False,0
txn_bbf7152e,cust_0060,20253,INR,2026-08-10 01:37:38,invoice,overdue,none,new,0,0,False,none,31,20253,0,False,0
txn_d7241fe5,cust_0970,43337,INR,2026-05-11 12:27:38,invoice,successful,none,VIP,41,2,False,none,0,241039,0,True,43337
txn_1a4eb801,cust_0731,47936,INR,2026-05-04 16:11:38,subscription,successful,none,returning,13,2,False,active,0,101080,0,True,47936
txn_c377afea,cust_0603,22256,INR,2026-03-19 18:12:38,payment,successful,none,VIP,49,4,True,none,0,135152,0,True,22256
txn_863f537a,cust_0073,2158,INR,2026-07-24 19:27:38,checkout,successful,none,VIP,50,2,False,none,0,225958,0,True,2158
txn_d8af1b58,cust_0249,37862,INR,2026-05-09 07:59:38,invoice,overdue,none,returning,14,1,False,none,61,55670,0,False,0
txn_a18c555a,cust_0690,47880,INR,2026-07-31 12:14:38,payment,successful,none,VIP,32,0,False,none,0,169416,0,True,47880
txn_9f354fab,cust_0433,29500,INR,2026-08-08 04:35:38,subscription,successful,none,new,1,0,False,active,0,33789,0,True,29500
txn_048cd823,cust_0052,36166,INR,2026-06-28 14:00:38,invoice,overdue,none,VIP,89,0,False,none,13,148662,0,False,0
txn_e6a32fb9,cust_0925,14108,INR,2026-05-20 10:27:38,invoice,successful,none,new,0,0,True,none,0,14108,0,True,14108
txn_935d2bf0,cust_0293,29919,INR,2026-07-10 10:13:38,checkout,abandoned,none,returning,18,3,True,none,0,61743,0,False,0
txn_34dd1b1f,cust_0063,38057,INR,2026-04-21 03:16:38,invoice,overdue,none,VIP,60,0,False,none,70,92657,0,False,0
txn_7d661499,cust_0872,33381,INR,2026-06-28 07:19:38,payment,successful,none,new,0,0,False,none,0,33381,0,True,33381
txn_07150712,cust_0593,37434,INR,2026-03-31 00:53:38,invoice,overdue,none,VIP,25,4,False,none,32,66709,0,False,0
txn_fa8a4dd8,cust_0686,17189,INR,2026-03-08 23:07:38,subscription,successful,none,VIP,60,1,False,active,0,177689,0,True,17189
txn_a848eccf,cust_0010,49374,INR,2026-04-20 11:18:38,payment,successful,none,returning,20,0,False,none,0,71374,0,True,49374
txn_66e0e064,cust_0379,4608,INR,2026-03-23 22:53:38,invoice,overdue,none,returning,6,3,False,none,32,34308,0,False,0
txn_3927378e,cust_0955,36446,INR,2026-07-30 19:51:38,checkout,successful,none,VIP,33,1,False,none,0,124424,0,True,36446
txn_5f217c62,cust_0735,18565,INR,2026-08-14 16:46:38,subscription,successful,none,returning,7,2,False,active,0,51045,0,True,18565
txn_14262590,cust_0004,18232,INR,2026-04-07 20:59:38,payment,successful,none,returning,5,2,False,none,0,27347,0,True,18232
txn_a658668e,cust_0968,7431,INR,2026-03-31 02:17:38,payment,successful,none,VIP,39,4,False,none,0,38436,0,True,7431
txn_50825bf1,cust_0374,2841,INR,2026-03-10 16:04:38,checkout,successful,none,new,1,0,False,none,0,5061,0,True,2841
txn_42faf4d0,cust_0998,26732,INR,2026-07-13 06:25:38,checkout,abandoned,none,VIP,39,1,True,none,0,98141,0,False,0
txn_87001509,cust_0822,21870,INR,2026-07-31 06:31:38,invoice,successful,none,VIP,51,2,False,none,0,113874,0,True,21870
